antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({21}),frozenset({22}),0.3908413205537806,0.4014909478168264,0.16187433439829607,0.4141689373297003,1.0315772736142932,0.004955082163178609,1.0216410332615102,0.05025073610599933
frozenset({22}),frozenset({21}),0.4014909478168264,0.3908413205537806,0.16187433439829607,0.40318302387267907,1.0315772736142932,0.004955082163178609,1.0206792095609987,0.05114487731784986
frozenset({21}),frozenset({23}),0.3908413205537806,0.3929712460063898,0.16187433439829607,0.4141689373297003,1.0539420925544405,0.008284933669494093,1.0361839661193253,0.08401959882223041
frozenset({23}),frozenset({21}),0.3929712460063898,0.3908413205537806,0.16187433439829607,0.41192411924119243,1.0539420925544405,0.008284933669494093,1.0358504733440321,0.08431440443213298
frozenset({24}),frozenset({21}),0.4142705005324814,0.3908413205537806,0.1810436634717785,0.4370179948586118,1.118146858779936,0.01912963397718781,1.082021581299449,0.18039572192513384
frozenset({21}),frozenset({24}),0.3908413205537806,0.4142705005324814,0.1810436634717785,0.46321525885558584,1.118146858779936,0.01912963397718781,1.091181351799895,0.1734574249280133
frozenset({26}),frozenset({21}),0.3844515441959531,0.3908413205537806,0.15228966986155484,0.3961218836565097,1.0135107595462196,0.002030120639068378,1.008744418715987,0.02165654414789374
frozenset({21}),frozenset({26}),0.3908413205537806,0.3844515441959531,0.15228966986155484,0.3896457765667575,1.0135107595462196,0.002030120639068378,1.008510193214666,0.021883710694899618
frozenset({27}),frozenset({21}),0.3951011714589989,0.3908413205537806,0.1650692225772098,0.41778975741239893,1.0689498152867645,0.010647358971828946,1.046286435530312,0.10663334847796446
frozenset({21}),frozenset({27}),0.3908413205537806,0.3951011714589989,0.1650692225772098,0.42234332425068116,1.0689498152867645,0.010647358971828946,1.0471597645025819,0.1058876607263703
frozenset({28}),frozenset({21}),0.3961661341853035,0.3908413205537806,0.16719914802981894,0.4220430107526882,1.0798321174299024,0.012361052986148674,1.0539861802511332,0.12243453644727527
frozenset({21}),frozenset({28}),0.3908413205537806,0.3961661341853035,0.16719914802981894,0.42779291553133514,1.0798321174299024,0.012361052986148674,1.0552715654952076,0.12136430448532355
frozenset({29}),frozenset({21}),0.4185303514376997,0.3908413205537806,0.17465388711395102,0.4173027989821883,1.0677038916737733,0.011074931866202592,1.0454120568662193,0.10905253283302081
frozenset({21}),frozenset({29}),0.3908413205537806,0.4185303514376997,0.17465388711395102,0.446866485013624,1.0677038916737736,0.011074931866202592,1.0512283794205135,0.10409559952242896
frozenset({21}),frozenset({30}),0.3908413205537806,0.4206602768903088,0.16932907348242812,0.4332425068119891,1.0299106680922983,0.00491765535810082,1.0222003768329648,0.04767559484540631
frozenset({30}),frozenset({21}),0.4206602768903088,0.3908413205537806,0.16932907348242812,0.4025316455696203,1.0299106680922983,0.00491765535810082,1.0195664338188841,0.05012948575656692
frozenset({22}),frozenset({23}),0.4014909478168264,0.3929712460063898,0.17145899893503727,0.42705570291777184,1.086735244010265,0.013684600911172573,1.059490001183292,0.13335248999801058
frozenset({23}),frozenset({22}),0.3929712460063898,0.4014909478168264,0.17145899893503727,0.4363143631436314,1.086735244010265,0.013684600911172573,1.06177807815188,0.13148087610330164
frozenset({24}),frozenset({22}),0.4142705005324814,0.4014909478168264,0.16719914802981894,0.403598971722365,1.0052504892501344,0.0008732921184818887,1.003534574565752,0.008917197452228945
frozenset({22}),frozenset({24}),0.4014909478168264,0.4142705005324814,0.16719914802981894,0.416445623342175,1.0052504892501344,0.0008732921184818887,1.0037273695420659,0.008726794659654664
frozenset({25}),frozenset({22}),0.4078807241746539,0.4014909478168264,0.1757188498402556,0.43080939947780683,1.0730239419354393,0.011958431295160277,1.0515090228722728,0.11493350773926327
frozenset({22}),frozenset({25}),0.4014909478168264,0.4078807241746539,0.1757188498402556,0.4376657824933687,1.0730239419354393,0.011958431295160277,1.052966825406394,0.11370645961393308
frozenset({26}),frozenset({22}),0.3844515441959531,0.4014909478168264,0.16719914802981894,0.43490304709141275,1.083220056283386,0.01284533316094319,1.0591263129319886,0.12480990897670409
frozenset({22}),frozenset({26}),0.4014909478168264,0.3844515441959531,0.16719914802981894,0.416445623342175,1.083220056283386,0.01284533316094319,1.0548262174460257,0.1283632159938345
frozenset({28}),frozenset({22}),0.3961661341853035,0.4014909478168264,0.17784877529286475,0.4489247311827957,1.1181440917258492,0.018791658585879195,1.0860749629860516,0.17498336660013297
frozenset({22}),frozenset({28}),0.4014909478168264,0.3961661341853035,0.17784877529286475,0.4429708222811671,1.1181440917258492,0.018791658585879195,1.084025559105431,0.17654015811792778
frozenset({29}),frozenset({22}),0.4185303514376997,0.4014909478168264,0.17678381256656017,0.4223918575063613,1.052058233948205,0.008747665077728672,1.0361852753655822,0.0850986363034556
frozenset({22}),frozenset({29}),0.4014909478168264,0.4185303514376997,0.17678381256656017,0.4403183023872679,1.052058233948205,0.008747665077728672,1.038929182502309,0.08267589932684478
frozenset({30}),frozenset({22}),0.4206602768903088,0.4014909478168264,0.18956336528221512,0.4506329113924051,1.1223986838129134,0.020672072004636388,1.0894519613472513,0.18823322868473233
frozenset({22}),frozenset({30}),0.4014909478168264,0.4206602768903088,0.18956336528221512,0.47214854111405835,1.1223986838129134,0.020672072004636388,1.097543093529415,0.1822044064136911
frozenset({25}),frozenset({23}),0.4078807241746539,0.3929712460063898,0.16826411075612355,0.4125326370757181,1.0497781740219492,0.00797871435522124,1.03329783457579,0.08008150441672007
